Real Madrid,162,ESP,1
Atletico Madrid,140,ESP,1
Bayern Munich,135,GER,1
Barcelona,132,ESP,1
Juventus,126,ITA,1
Paris Saint-Germain,109,FRA,1
Manchester City,100,ENG,1
Lokomotiv Moscow,22.5,RUS,1
Borussia Dortmund,89,GER,2
Porto,86,POR,2
Manchester United,82,ENG,2
Shakhtar Donetsk,81,UKR,2
Benfica,80,POR,2
Napoli,78,ITA,2
Tottenham Hotspur,67,ENG,2
Roma,64,ITA,2
Liverpool,62,ENG,3
Schalke 04,62,GER,3
Lyon,59.5,FRA,3
Monaco,57,FRA,3
Ajax,53.5,NED,3
CSKA Moscow,45,RUS,3
PSV Eindhoven,36,NED,3
Valencia,36,ESP,3
Viktoria Plzen,33,CZE,4
Club Brugge,29.5,BEL,4
Galatasaray,29.5,TUR,4
Young Boys,20.5,SUI,4
Internazionale,16,ITA,4
1899 Hoffenheim,14.285,GER,4
Red Star Belgrade,10.75,SRB,4
AEK Athens,10,GRE,4
